Clave,Descripción
27737802,27737802 - Inducción Organizacional.  [ 07/05/2025 - 07/05/2025]  Duración:8 Hrs.
27737801,27737801 - Inducción Organizacional.  [ 26/05/2025 - 26/05/2025]  Duración:8 Hrs.
27737800,27737800 - Inducción Organizacional.  [ 12/05/2025 - 12/05/2025]  Duración:8 Hrs.
27737796,27737796 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 06/05/2025 - 07/05/2025]  Duración:16 Hrs.
27737795,27737795 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 03/05/2025 - 05/05/2025]  Duración:16 Hrs.
27737794,27737794 - Inducción a la Seguridad e Higiene.  [ 02/05/2025 - 02/05/2025]  Duración:16 Hrs.
27737793,27737793 - MANEJO DE CUERDAS Y NUDOS.  [ 31/05/2025 - 02/06/2025]  Duración:16 Hrs.
27737792,27737792 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 27/05/2025 - 28/05/2025]  Duración:16 Hrs.
27737791,27737791 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 26/05/2025 - 27/05/2025]  Duración:16 Hrs.
27737790,27737790 - MANEJO DE CUERDAS Y NUDOS.  [ 27/05/2025 - 28/05/2025]  Duración:16 Hrs.
27737789,27737789 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 17/05/2025 - 19/05/2025]  Duración:16 Hrs.
27737788,27737788 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 13/05/2025 - 14/05/2025]  Duración:16 Hrs.
27737787,27737787 - MANEJO DE CUERDAS Y NUDOS.  [ 08/05/2025 - 09/05/2025]  Duración:16 Hrs.
27737786,27737786 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 15/05/2025 - 16/05/2025]  Duración:16 Hrs.
27737785,27737785 - Inducción a la Seguridad e Higiene.  [ 07/05/2025 - 07/05/2025]  Duración:8 Hrs.
27737784,27737784 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 29/05/2025 - 30/05/2025]  Duración:16 Hrs.
27737783,27737783 - Inducción a la Seguridad e Higiene.  [ 12/05/2025 - 12/05/2025]  Duración:8 Hrs.
27737782,27737782 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 31/05/2025 - 02/06/2025]  Duración:16 Hrs.
27737781,27737781 - Inducción a la Seguridad e Higiene.  [ 26/05/2025 - 26/05/2025]  Duración:8 Hrs.
27737780,27737780 - MANEJO DE CUERDAS Y NUDOS.  [ 13/05/2025 - 14/05/2025]  Duración:16 Hrs.
27737779,27737779 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 10/05/2025 - 12/05/2025]  Duración:16 Hrs.
27732560,27732560 - Inducción a la Seguridad e Higiene.  [ 15/04/2025 - 15/04/2025]  Duración:8 Hrs.
27732559,27732559 - MANEJO DE CUERDAS Y NUDOS.  [ 04/04/2025 - 05/04/2025]  Duración:16 Hrs.
27732558,27732558 - MANEJO DE CUERDAS Y NUDOS.  [ 11/04/2025 - 12/04/2025]  Duración:16 Hrs.
27732557,27732557 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 16/04/2025 - 17/04/2025]  Duración:16 Hrs.
27732556,27732556 - Inducción a la Seguridad e Higiene.  [ 03/04/2025 - 03/04/2025]  Duración:8 Hrs.
27732555,27732555 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 18/04/2025 - 19/04/2025]  Duración:16 Hrs.
27732554,27732554 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 28/04/2025 - 29/04/2025]  Duración:16 Hrs.
27732553,27732553 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 09/04/2025 - 10/04/2025]  Duración:16 Hrs.
27732552,27732552 - Inducción a la Seguridad e Higiene.  [ 24/04/2025 - 24/04/2025]  Duración:8 Hrs.
27732551,27732551 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 21/04/2025 - 22/04/2025]  Duración:16 Hrs.
27732550,27732550 - MANEJO DE CUERDAS Y NUDOS.  [ 25/04/2025 - 26/04/2025]  Duración:16 Hrs.
27732549,27732549 - MANEJO DE CUERDAS Y NUDOS.  [ 16/04/2025 - 17/04/2025]  Duración:16 Hrs.
27732548,27732548 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 14/04/2025 - 15/04/2025]  Duración:16 Hrs.
27732547,27732547 - Inducción a la Seguridad e Higiene.  [ 08/04/2025 - 08/04/2025]  Duración:8 Hrs.
27732546,27732546 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 07/04/2025 - 08/04/2025]  Duración:16 Hrs.
27732545,27732545 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 14/04/2025 - 15/04/2025]  Duración:16 Hrs.
27732544,27732544 - MANEJO DE CUERDAS Y NUDOS.  [ 09/04/2025 - 10/04/2025]  Duración:16 Hrs.
27732543,27732543 - Inducción a la Seguridad e Higiene.  [ 10/04/2025 - 10/04/2025]  Duración:8 Hrs.
27732542,27732542 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 11/04/2025 - 12/04/2025]  Duración:16 Hrs.
27732541,27732541 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 30/04/2025 - 01/05/2025]  Duración:16 Hrs.
27420780,27420780 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 08/04/2025 - 09/04/2025]  Duración:16 Hrs.
27420779,27420779 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 15/04/2025 - 16/04/2024]  Duración:16 Hrs.
27420778,27420778 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 05/04/2025 - 06/04/2025]  Duración:16 Hrs.
27420777,27420777 - Cuerdas y nudos.  [ 03/04/2025 - 04/04/2025]  Duración:16 Hrs.
27420776,27420776 - Cuerdas y nudos.  [ 15/04/2025 - 16/04/2025]  Duración:16 Hrs.
27420775,27420775 - Inducción a la Seguridad e Higiene.  [ 09/04/2025 - 09/04/2024]  Duración:8 Hrs.
27420774,27420774 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 17/04/2025 - 18/04/2025]  Duración:16 Hrs.
27420773,27420773 - MANEJO DE CUERDAS Y NUDOS.  [ 10/04/2025 - 11/04/2025]  Duración:16 Hrs.
27420772,27420772 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 19/04/2025 - 21/04/2025]  Duración:16 Hrs.
27420771,27420771 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 01/04/2025 - 02/04/2025]  Duración:16 Hrs.
27420770,27420770 - Inducción a la Seguridad e Higiene.  [ 30/04/2025 - 30/04/2025]  Duración:8 Hrs.
27420769,27420769 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 12/04/2025 - 14/04/2025]  Duración:16 Hrs.
27420768,27420768 - Cuerdas y nudos.  [ 24/04/2025 - 25/04/2025]  Duración:16 Hrs.
